indicator,type,confidence,threat_actor,malware_family,first_seen,last_seen,source,notes
50.16.16.211,ip,High,TA551 / Gold Lagoon,QakBot,2026-03-12,2026-03-12,Feodo Tracker,Active Botnet C2 (Port: 443)
162.243.103.246,ip,High,TA542 / Mummy Spider,Emotet,2026-03-07,2026-03-07,Feodo Tracker,Active Botnet C2 (Port: 8080)
27.133.154.218,ip,High,TA551 / Gold Lagoon,QakBot,2026-03-05,2026-03-05,Feodo Tracker,Active Botnet C2 (Port: 443)
34.204.119.63,ip,High,TA551 / Gold Lagoon,QakBot,2026-03-01,2026-03-01,Feodo Tracker,Active Botnet C2 (Port: 443)
178.62.3.223,ip,High,TA551 / Gold Lagoon,QakBot,2026-02-18,2026-02-18,Feodo Tracker,Active Botnet C2 (Port: 443)
lcowpowerlite[.]italynorth[.]cloudapp[.]azure[.]com,domain,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Domain (Protocol: https, Config: lcowpowerlite.italynorth.cloudapp.azure.com)"
83.229.126.183,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 83.229.126.183)"
83.229.123.61,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 83.229.123.61)"
8.219.76.168,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: baidu.com)"
8.159.146.72,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: missmovie.lol)"
8.153.97.202,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 8.153.97.202)"
8.153.205.30,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 8.153.205.30)"
8.152.99.85,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 8.152.99.85)"
8.147.128.54,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 8.147.128.54)"
8.138.222.215,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 8.138.222.215)"
8.138.167.123,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: dakk5rnsax46s.cfc-execute.su.baidubce.com)"
8.137.149.67,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 8.137.149.67)"
8.137.114.210,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 8.137.114.210)"
72.146.31.117,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: lcowpowerlite.italynorth.cloudapp.azure.com)"
60.205.139.210,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 60.205.139.210)"
59.110.28.230,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 59.110.28.230)"
47.93.28.103,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 47.93.28.103)"
47.121.29.60,ip,High,Multiple (APT29 / FIN7 / Ransomware),Cobalt Strike,2026-02-08,2026-02-08,Threatview.io,"CS C2 Relay (Protocol: https, Config: 47.121.29.60)"
