indicator,type,confidence,threat_actor,malware_family,first_seen,last_seen,source,notes
45.77.149.152,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
209.182.225.136,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
38.60.157.139,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
162.33.177.101,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
45.76.26.42,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
144.208.127.155,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
38.54.88.201,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
38.54.107.167,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
66.42.99.200,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
45.63.104.106,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
45.61.136.173,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
146.71.81.184,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
208.123.119.167,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
64.176.228.109,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
158.247.195.147,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
144.208.127.134,ip,High,Qilin Affiliate,None,2026-05-07,2026-06-11,Check Point (sk185033),Observed in active exploitation of CVE-2026-50751 (VPN Auth Bypass)
*.anydesk.com,domain,Low,Qilin Affiliate,AnyDesk,2026-05-07,2026-06-11,ThreatSignal,AnyDesk relay infrastructure (legitimately used; flag if unexpected)
*.relay.splashtop.com,domain,Low,Qilin Affiliate,Splashtop,2026-05-07,2026-06-11,ThreatSignal,Splashtop relay infrastructure
